state	abbr	fips	pop2010	pop2000	homeownership	multiunit	income	med_income	poverty	fed_spend	land_area	smoke	murder	robbery	agg_assault	larceny	motor_theft	soc_sec	nuclear	coal	tr_deaths	tr_deaths_no_alc	unempl
Kentucky	KY	21	4339367	4041769	69.9	17.7	22515	41576	17.7	12.9639168569978	39486.34	28.7	NA	NA	NA	NA	NA	18.1	0	91.1	22.7	1.6	8.7
Louisiana	LA	22	4533372	4468976	68.2	17.8	23094	43445	18.1	11.6113667706952	43203.9	22.6	9.9	118	9.6	55	7	16.3	7.9	24.9	21.1	1.3	7
Maine	ME	23	1328361	1274923	73.1	19.4	25385	46933	12.6	10.8876194046648	30842.92	20.9	1.4	24.4	4.6	138	7.7	19.9	0	1.7	12.7	4.9	7.1
Maryland	MD	24	5773552	5296486	69	25.7	34849	70647	8.6	16.6398380061356	9707.24	19	9.9	256.7	7.2	39.7	10.5	13.2	13.9	55.7	10.6	1.1	6.5
Massachusetts	MA	25	6547629	6349097	64	41.7	33966	64509	10.5	12.4884598684501	7800.06	18.1	2.7	119	4.7	23.3	4.5	16.3	4.9	25.3	6.8	0.9	6.9
Michigan	MI	26	9883640	9938444	74.2	18	25135	48432	14.8	9.23912010150107	56538.9	22.1	6.1	131.8	3.7	19.4	4.8	17.4	13.1	57.8	11.4	0.6	8.8
Minnesota	MN	27	5303925	4919479	74.2	21.5	29582	57243	10.6	8.35949301696385	79626.74	20	2.2	92	3	42	5.2	14.6	13.4	62.1	10.5	1.2	5.7
Mississippi	MS	28	2967297	2844658	70.8	13.4	19977	37881	21.2	11.1565134868535	46923.27	23.7	7.3	82.3	5	70.2	8.6	18.4	7.5	36.9	31.4	2	9.5
Missouri	MO	29	5988927	5595211	70	19.6	24724	46262	14	11.2495298406543	68741.52	23.4	6.9	124.1	6.1	45.9	7.4	17.5	5.8	85.3	21	1	7.4
Montana	MT	30	989415	902195	69	16.3	23836	43872	14.5	10.4637932515678	145545.8	19.2	NA	NA	NA	NA	NA	16.8	0	63.8	25.4	5.1	6.2
Nebraska	NE	31	1826341	1711263	68.6	19.3	25229	49342	11.8	9.19389533498947	76824.17	21.3	2.5	59.1	10.5	141	17.3	15.9	17.6	66.2	15.1	3.7	4
Nevada	NV	32	2700551	1998257	60.1	29.4	27589	55726	11.9	7.36653853232174	109781.18	23.1	8.5	194.7	13.4	79.8	41.3	12.6	0	45.7	15.8	2.3	12.3
New Hampshire	NH	33	1316470	1235786	72.6	25.7	31422	63277	7.8	8.94547919815871	8952.65	20.5	1.4	27.4	5.5	104.6	7.8	16.6	28.2	17.2	12.6	4.9	5.2
New Jersey	NJ	34	8791894	8414350	66.9	36	34858	69811	9.1	9.05293410043388	7354.22	18.1	4.8	151.6	2.1	17.8	3.6	15.6	22.7	19.2	8.5	0.7	9
New Mexico	NM	35	2059179	1819046	69.6	15.1	22966	43820	18.4	13.3406634391668	121298.15	21.5	7.4	98.7	26.3	128.2	20.1	14.8	0	85.2	23.7	3	7.2
New York	NY	36	19378102	18976457	55.2	50.6	30948	55603	14.2	10.0635567404899	47126.4	20.5	4.5	182.7	1.2	8.1	1	15.7	13.2	14	7.4	0.3	8.5
North Carolina	NC	37	9535483	8049313	68.1	16.9	24745	45570	15.5	9.00257448940971	48617.91	22.7	6.7	145.5	3	26.7	3.4	15.4	18.2	60.5	16.1	0.7	9.9
North Dakota	ND	38	672591	642200	66.6	25.9	25803	46781	12.3	13.2954038933022	69000.8	20	1.1	7.4	9.7	223.1	24.7	17.1	0	94.8	18.3	7.8	3.1
Ohio	OH	39	11536504	11353140	69.2	23	25113	47358	14.2	9.11657578413703	40860.69	22.3	5.1	163.1	1.2	21.1	3.1	16.9	6.2	87.2	11.5	0.5	7.6
Oklahoma	OK	40	3751351	3450654	68.2	15.3	23094	42979	16.2	10.1941964374968	68594.92	25.1	5.3	91	9.9	70.5	10.4	16.6	0	53	21.4	1.7	6
Oregon	OR	41	3831074	3421399	63.8	23.3	26171	49260	14	8.77031140614877	95988.01	18.5	2.2	68.1	4.7	81.2	13.8	15.9	0	7	12.7	1.7	8.8
Pennsylvania	PA	42	12702379	12281054	71	20.7	27049	50398	12.4	11.0121622886547	44742.7	23.7	6.1	154.6	1.9	13.6	1.9	18.9	20.5	55.5	12.7	0.5	7.6
Rhode Island	RI	44	1052567	1048319	62.5	40.5	28707	54902	12.2	10.8698116129425	1033.81	19.8	3.2	72.1	13.9	172.5	38.8	18.2	0	0	8.3	4.8	11
South Carolina	SC	45	4625364	4012012	69.9	17.4	23443	43939	16.4	10.4492273472963	30060.7	22.6	7.4	132.1	12.5	63.9	8.3	16.2	28.7	38.7	23.6	1.2	9.1
South Dakota	SD	46	814180	754844	68.9	18.5	24110	46369	13.7	11.844711243214	75811	19.8	2.3	18.6	13.3	165	13.3	17.2	0	46	22.8	7	4.3
Tennessee	TN	47	6346105	5689283	69.6	18.1	23722	43314	16.5	10.3252792066945	41234.9	26.8	7.2	167.3	8.5	44.6	6.6	16.9	16.4	61	20	1	8
Texas	TX	48	25145561	20851820	64.8	24.1	24870	49646	16.8	8.60507542464453	261231.71	20	6.2	156.6	1.3	11.8	1.6	11.4	4.8	37.4	13.9	0.2	7.1
Utah	UT	49	2763885	2233169	71.2	21.4	23139	56330	10.8	8.08240827675536	82169.62	11.5	2.3	44.3	5.2	105.6	12.4	9.5	0	94.2	10.2	3.1	5.7
Vermont	VT	50	625741	608827	71.4	23.2	27478	51841	11.1	10.8224121481571	9216.66	19.3	1.3	11.7	13.3	269.5	16.4	17.6	50.5	0	11.7	9.6	4.9
Virginia	VA	51	8001024	7078515	68.9	21.4	32145	61406	10.3	15.9727087432809	39490.09	20.6	6.1	99.2	1.9	25.4	2.6	13.9	15.2	44.9	11.8	0.8	5.7
Washington	WA	53	6724540	5894121	64.8	25.9	29733	57244	12.1	10.2581404824717	66455.52	17.6	3.3	92.1	3.1	46.8	11.7	13.6	4.1	10.3	9.6	0.8	8.2
West Virginia	WV	54	1852994	1808344	74.6	12.1	21232	38380	17.4	11.0441922639793	24038.21	26.6	4.4	44.6	11.1	96.8	11.3	22	0	97.6	20.2	3.6	7.2
Wisconsin	WI	55	5686986	5363675	69.5	25.5	26624	51598	11.6	9.2416269356035	54157.8	20.8	3.5	82.2	2.4	35	4	16.5	9.8	67.4	14.3	1	6.9
Wyoming	WY	56	563626	493782	70.2	15.8	27860	53802	9.8	11.5430924052475	97093.14	21.3	2.7	15.3	33.4	449.6	25.7	14.7	0	95.1	30.2	11	5.4
