player	team	position	salary
Hideki Okajima	Boston Red Sox	Pitcher	2750
Ramon S. Ramirez	Boston Red Sox	Pitcher	1155
Junichi Tazawa	Boston Red Sox	Pitcher	1100
Manny Delcarmen	Boston Red Sox	Pitcher	905
Boof Bonser	Boston Red Sox	Pitcher	650
Scott Schoeneweis	Boston Red Sox	Pitcher	500
Jacoby Ellsbury	Boston Red Sox	Outfielder	496.5
Clay Buchholz	Boston Red Sox	Pitcher	443
Jed Lowrie	Boston Red Sox	Shortstop	434
Scott Atchison	Boston Red Sox	Pitcher	420
Daniel Bard	Boston Red Sox	Pitcher	415.5
Alfonso Soriano	Chicago Cubs	Outfielder	19000
Carlos Zambrano	Chicago Cubs	Pitcher	18875
Aramis Ramirez	Chicago Cubs	Third Baseman	16750
Kosuke Fukudome	Chicago Cubs	Outfielder	14000
Ryan Dempster	Chicago Cubs	Pitcher	13500
Derrek Lee	Chicago Cubs	First Baseman	13250
Ted Lilly	Chicago Cubs	Pitcher	13000
Carlos Silva	Chicago Cubs	Pitcher	12750
Xavier Nady	Chicago Cubs	Outfielder	3300
Marlon Byrd	Chicago Cubs	Outfielder	3000
Jeff Samardzija	Chicago Cubs	Pitcher	3000
John Grabow	Chicago Cubs	Pitcher	2700
Ryan Theriot	Chicago Cubs	Shortstop	2600
Carlos Marmol	Chicago Cubs	Pitcher	2125
Mike Fontenot	Chicago Cubs	Second Baseman	1000
Jeff Baker	Chicago Cubs	Second Baseman	975
Sean Marshall	Chicago Cubs	Pitcher	950
Chad Tracy	Chicago Cubs	Third Baseman	900
Angel Guzman	Chicago Cubs	Pitcher	825
Tom Gorzelanny	Chicago Cubs	Pitcher	800
Koyie Hill	Chicago Cubs	Catcher	700
Geovany Soto	Chicago Cubs	Catcher	575
Randy Wells	Chicago Cubs	Pitcher	427
Justin Berg	Chicago Cubs	Pitcher	403
Esmailin Caridad	Chicago Cubs	Pitcher	403
Tyler Colvin	Chicago Cubs	Outfielder	401
James Russell	Chicago Cubs	Pitcher	400
Jake Peavy	Chicago White Sox	Pitcher	15000
Mark Buehrle	Chicago White Sox	Pitcher	14000
Paul Konerko	Chicago White Sox	First Baseman	12000
Alex Rios	Chicago White Sox	Outfielder	10200
Bobby Jenks	Chicago White Sox	Pitcher	7500
Juan Pierre	Chicago White Sox	Outfielder	7000
A.J. Pierzynski	Chicago White Sox	Catcher	6750
Scott Linebrink	Chicago White Sox	Pitcher	5000
Mark Teahen	Chicago White Sox	Outfielder	3750
John Danks	Chicago White Sox	Pitcher	3450
Carlos Quentin	Chicago White Sox	Outfielder	3200
J.J. Putz	Chicago White Sox	Pitcher	3000
Gavin Floyd	Chicago White Sox	Pitcher	2750
Matt Thornton	Chicago White Sox	Pitcher	2250
Mark Kotsay	Chicago White Sox	Outfielder	1500
Omar Vizquel	Chicago White Sox	Shortstop	1375
Alexei Ramirez	Chicago White Sox	Second Baseman	1225
Ramon Pena	Chicago White Sox	Pitcher	1200
Freddy Garcia	Chicago White Sox	Pitcher	1000
Ramon Castro	Chicago White Sox	Catcher	800
Andruw Jones	Chicago White Sox	Designated Hitter	500
Gordon Beckham	Chicago White Sox	Second Baseman	445
Jayson Nix	Chicago White Sox	Second Baseman	420
Randall Williams	Chicago White Sox	Pitcher	415
Donny Lucy	Chicago White Sox	Catcher	400
Sergio Santos	Chicago White Sox	Pitcher	400
Aaron Harang	Cincinnati Reds	Pitcher	12500
Francisco Cordero	Cincinnati Reds	Pitcher	12125
Bronson Arroyo	Cincinnati Reds	Pitcher	11625
Scott Rolen	Cincinnati Reds	Third Baseman	7666.666
Brandon Phillips	Cincinnati Reds	Second Baseman	6937.5
Ramon Hernandez	Cincinnati Reds	Catcher	3868.376
Aaron Miles	Cincinnati Reds	Second Baseman	2700
Mike Lincoln	Cincinnati Reds	Pitcher	2500
Orlando Cabrera	Cincinnati Reds	Shortstop	2020
Arthur Rhodes	Cincinnati Reds	Pitcher	2000
Nick Masset	Cincinnati Reds	Pitcher	1035
Jonny Gomes	Cincinnati Reds	Outfielder	800
Joey Votto	Cincinnati Reds	First Baseman	525
Johnny Cueto	Cincinnati Reds	Pitcher	445
Edison Volquez	Cincinnati Reds	Pitcher	445
Jay Bruce	Cincinnati Reds	Outfielder	440
Micah Owings	Cincinnati Reds	Pitcher	440
Homer Bailey	Cincinnati Reds	Outfielder	418
Wladimir Balentien	Cincinnati Reds	Outfielder	416
Chris Dickerson	Cincinnati Reds	Outfielder	415
Ryan Hanigan	Cincinnati Reds	Catcher	415
Daniel Herrera	Cincinnati Reds	Pitcher	412.5
Paul Janish	Cincinnati Reds	Shortstop	412.5
Juan Francisco	Cincinnati Reds	Third Baseman	400
Logan Ondrusek	Cincinnati Reds	Pitcher	400
Drew Stubbs	Cincinnati Reds	Outfielder	400
Travis Hafner	Cleveland Indians	Designated Hitter	11500
Jake Westbrook	Cleveland Indians	Pitcher	11000
Kerry Wood	Cleveland Indians	Pitcher	10500
Grady Sizemore	Cleveland Indians	Outfielder	5766.666
Fausto Carmona	Cleveland Indians	Pitcher	5087.5
Jhonny Peralta	Cleveland Indians	Third Baseman	4850
Russell Branyan	Cleveland Indians	First Baseman	1500
Jamey Wright	Cleveland Indians	Pitcher	900
Mike Redmond	Cleveland Indians	Catcher	850
Rafael Perez	Cleveland Indians	Pitcher	795
Austin Kearns	Cleveland Indians	Outfielder	750
Mark Grudzielanek	Cleveland Indians	Second Baseman	600
Shin-Soo Choo	Cleveland Indians	Outfielder	461.1
Asdrubal Cabrera	Cleveland Indians	Shortstop	444.6
Joe Smith	Cleveland Indians	Pitcher	427.5
Justin Masterson	Cleveland Indians	Pitcher	427
Anthony Reyes	Cleveland Indians	Pitcher	425
Chris Perez	Cleveland Indians	Pitcher	423.8
Jensen Lewis	Cleveland Indians	Pitcher	422.4
Aaron Laffey	Cleveland Indians	Pitcher	421.9
Luis Valbuena	Cleveland Indians	Infielder	414.7
Andy Marte	Cleveland Indians	First Baseman	413.4
David Huff	Cleveland Indians	Pitcher	410.7
Tony Sipp	Cleveland Indians	Pitcher	407.3
Matt LaPorta	Cleveland Indians	Outfielder	402.7
Lou Marson	Cleveland Indians	Catcher	401.2
Michael Brantley	Cleveland Indians	Outfielder	400.8
Mitch Talbot	Cleveland Indians	Pitcher	400.7
Hector Ambriz	Cleveland Indians	Pitcher	400
Todd Helton	Colorado Rockies	First Baseman	17775
Aaron Cook	Colorado Rockies	Pitcher	9625
Brad Hawpe	Colorado Rockies	Outfielder	7500
Huston Street	Colorado Rockies	Pitcher	7200
Jeff Francis	Colorado Rockies	Pitcher	5750
Jorge De La Rosa	Colorado Rockies	Pitcher	5600
Rafael Betancourt	Colorado Rockies	Pitcher	3775
Troy Tulowitzkii	Colorado Rockies	Shortstop	3500
Clint Barmes	Colorado Rockies	Second Baseman	3325
Manuel Corpas	Colorado Rockies	Pitcher	2750
Miguel Olivo	Colorado Rockies	Catcher	2000
Jason Hammel	Colorado Rockies	Pitcher	1900
Jason Giambi	Colorado Rockies	First Baseman	1750
Chris Iannetta	Colorado Rockies	Catcher	1750
Ryan Spilborghs	Colorado Rockies	Outfielder	1300
Melvin Mora	Colorado Rockies	Third Baseman	1275
Ubaldo Jimenez	Colorado Rockies	Pitcher	1250
Taylor Buchholz	Colorado Rockies	Pitcher	1055
Matt Belisle	Colorado Rockies	Pitcher	850
Randy Flores	Colorado Rockies	Pitcher	650
Ian Stewart	Colorado Rockies	Third Baseman	408
Seth Smith	Colorado Rockies	Outfielder	407
Dexter Fowler	Colorado Rockies	Outfielder	406
Carlos Gonzalez	Colorado Rockies	Outfielder	406
Franklin Morales	Colorado Rockies	Pitcher	406
Matt Daley	Colorado Rockies	Pitcher	404
Greg Reynolds	Colorado Rockies	Pitcher	403
Esmil Rogers	Colorado Rockies	Pitcher	401
Miguel Cabrera	Detroit Tigers	First Baseman	20000
Magglio Ordonez	Detroit Tigers	Outfielder	17825.976
Carlos Guillen	Detroit Tigers	Outfielder	13000
Jeremy Bonderman	Detroit Tigers	Pitcher	12500
Dontrelle Willis	Detroit Tigers	Pitcher	12000
Johnny Damon	Detroit Tigers	Outfielder	8000
Jose Valverde	Detroit Tigers	Pitcher	6886.052
Justin Verlander	Detroit Tigers	Pitcher	6850
Brandon Inge	Detroit Tigers	Third Baseman	6600
Gerald Laird	Detroit Tigers	Catcher	3950
Bobby Seay	Detroit Tigers	Pitcher	2475
Rick Porcello	Detroit Tigers	Pitcher	1920
Adam Everett	Detroit Tigers	Shortstop	1550
Max Scherzer	Detroit Tigers	Pitcher	1500
Ramon Santiago	Detroit Tigers	Shortstop	1250
Brad Thomas	Detroit Tigers	Pitcher	1000
Zach Miner	Detroit Tigers	Pitcher	950
Joel Zumaya	Detroit Tigers	Pitcher	915
Ryan Raburn	Detroit Tigers	Outfielder	438
Phil Coke	Detroit Tigers	Pitcher	425
Ryan Perry	Detroit Tigers	Pitcher	408.5
Fu-Te Ni	Detroit Tigers	Pitcher	407.5
Don Kelly	Detroit Tigers	Outfielder	405
Alex Avila	Detroit Tigers	Catcher	404.9
Eddie Bonine	Detroit Tigers	Pitcher	404
Austin Jackson	Detroit Tigers	Outfielder	400
Scott Sizemore	Detroit Tigers	Second Baseman	400
Nate Robertson	Florida Marlins	Pitcher	10000
Dan Uggla	Florida Marlins	Second Baseman	7800
Hanley Ramirez	Florida Marlins	Shortstop	7000
Jorge Cantu	Florida Marlins	Third Baseman	6000
Cody Ross	Florida Marlins	Outfielder	4450
Ricky Nolasco	Florida Marlins	Pitcher	3800
Josh Johnson	Florida Marlins	Pitcher	3750
Leo Nunez	Florida Marlins	Pitcher	2000
Andrew Miller	Florida Marlins	Pitcher	1790.219
Anibal Sanchez	Florida Marlins	Pitcher	1250
Ronny Paulino	Florida Marlins	Catcher	1100
Renyel Pinto	Florida Marlins	Pitcher	1075
Wes Helms	Florida Marlins	Third Baseman	950
Jose Veras	Florida Marlins	Pitcher	550
Mike Lamb	Florida Marlins	Third Baseman	500
Chris Coghlan	Florida Marlins	Outfielder	475
Clay Hensley	Florida Marlins	Pitcher	425
Emilio Bonifacio	Florida Marlins	Second Baseman	420
Chris Volstad	Florida Marlins	Pitcher	420
John D. Baker	Florida Marlins	Catcher	415
Brian Barden	Florida Marlins	Third Baseman	415
Dan Meyer	Florida Marlins	Pitcher	415
Brian Sanches	Florida Marlins	Pitcher	412.5
Burke Badenhop	Florida Marlins	Pitcher	407.5
Cameron Maybin	Florida Marlins	Outfielder	405
Brett Carroll	Florida Marlins	Outfielder	403.5
Gaby Sanchez	Florida Marlins	First Baseman	401
Carlos Lee	Houston Astros	Outfielder	19000
Roy Oswalt	Houston Astros	Pitcher	15000
Lance Berkman	Houston Astros	First Baseman	14500
Kazuo Matsui	Houston Astros	Second Baseman	5500
Wandy Rodriguez	Houston Astros	Pitcher	5000
Pedro Feliz	Houston Astros	Third Baseman	4500
Brandon Lyon	Houston Astros	Pitcher	4250
Hunter Pence	Houston Astros	Outfielder	3500
Brett Myers	Houston Astros	Pitcher	3100
Brian Moehler	Houston Astros	Pitcher	3000
Michael Bourn	Houston Astros	Outfielder	2400
Matt Lindstrom	Houston Astros	Pitcher	1625
Tim Byrdak	Houston Astros	Pitcher	1600
Geoff Blum	Houston Astros	Second Baseman	1500
Jeff Keppinger	Houston Astros	Shortstop	1150
Chris Sampson	Houston Astros	Pitcher	815
Jason Michaels	Houston Astros	Outfielder	800
Humberto Quintero	Houston Astros	Catcher	750
Cory Sullivan	Houston Astros	Outfielder	700
Jeff Fulchino	Houston Astros	Pitcher	425
Alberto Arias	Houston Astros	Pitcher	415.5
Felipe Paulino	Houston Astros	Pitcher	415
J.R. Towles	Houston Astros	Catcher	406.5
Sam Gervacio	Houston Astros	Pitcher	402.5
Bud Norris	Houston Astros	Pitcher	401
Yorman Bazardo	Houston Astros	Pitcher	400
Chris D. Johnson	Houston Astros	Third Baseman	400
Tommy Manzella	Houston Astros	Shortstop	400
Gil Meche	Kansas City Royals	Pitcher	12400
Jose Guillen	Kansas City Royals	Outfielder	12000
Zack Greinke	Kansas City Royals	Pitcher	7250
David DeJesus	Kansas City Royals	Outfielder	4700
Kyle Farnsworth	Kansas City Royals	Pitcher	4500
Yuniesky Betancourt	Kansas City Royals	Shortstop	3300
Juan Cruz	Kansas City Royals	Pitcher	3250
Joakim Soria	Kansas City Royals	Pitcher	3000
Rick Ankiel	Kansas City Royals	Outfielder	2750
Brian Bannister	Kansas City Royals	Pitcher	2300
Jason Kendall	Kansas City Royals	Catcher	2250
Kyle Davies	Kansas City Royals	Pitcher	1800
Luke Hochevar	Kansas City Royals	Pitcher	1760
Willie Bloomquist	Kansas City Royals	Second Baseman	1700
Scott Podsednik	Kansas City Royals	Outfielder	1650
Alex Gordon	Kansas City Royals	Third Baseman	1150
Robinson Tejada	Kansas City Royals	Pitcher	950
Roman Colon	Kansas City Royals	Pitcher	665
John Parrish	Kansas City Royals	Pitcher	600
Billy Butler	Kansas City Royals	First Baseman	470
Alberto Callaspo	Kansas City Royals	Second Baseman	460
Mike Aviles	Kansas City Royals	Shortstop	429
Brayan Pena	Kansas City Royals	Catcher	428
Josh Fields	Kansas City Royals	Third Baseman	422
Chris Getz	Kansas City Royals	Second Baseman	414.5
Luis A. Mendoza	Kansas City Royals	Pitcher	406.21
Dusty Hughes	Kansas City Royals	Pitcher	400.5
Torii Hunter	Los Angeles Angeles	Outfielder	18500
Bobby Abreu	Los Angeles Angeles	Outfielder	9000
Brian Fuentes	Los Angeles Angeles	Pitcher	9000
Scott Kazmir	Los Angeles Angeles	Pitcher	8000
Joel Pineiro	Los Angeles Angeles	Pitcher	8000
Hideki Matsui	Los Angeles Angeles	Outfielder	6000
Ervin Santana	Los Angeles Angeles	Pitcher	6000
Fernando Rodney	Los Angeles Angeles	Pitcher	5500
Scot Shields	Los Angeles Angeles	Pitcher	5350
Jered Weaver	Los Angeles Angeles	Pitcher	4265
Juan Rivera	Los Angeles Angeles	Outfielder	4250
Joe Saunders	Los Angeles Angeles	Pitcher	3700
Mike Napoli	Los Angeles Angeles	Catcher	3600
Maicer Izturis	Los Angeles Angeles	Shortstop	2766.666
Erick Aybar	Los Angeles Angeles	Shortstop	2050
Howie Kendrick	Los Angeles Angeles	Second Baseman	1750
Jeff Mathis	Los Angeles Angeles	Catcher	1300
Kendry Morales	Los Angeles Angeles	First Baseman	1200
Reggie Willits	Los Angeles Angeles	Outfielder	625
Brian Stokes	Los Angeles Angeles	Pitcher	435
Jon Palmer	Los Angeles Angeles	Pitcher	420
Jason Bulger	Los Angeles Angeles	Pitcher	418
Kevin Jepsen	Los Angeles Angeles	Pitcher	415
Brandan Wood	Los Angeles Angeles	Shortstop	410
Terry Evans	Los Angeles Angeles	Outfielder	405
Ryan Budde	Los Angeles Angeles	Catcher	402.2
Robert Wilson	Los Angeles Angeles	Catcher	402
Anthony Ortega	Los Angeles Angeles	Pitcher	400
Chris Pettit	Los Angeles Angeles	Outfielder	400
Manny Ramirez	Los Angeles Dodgers	Outfielder	18695.006
Hiroki Kuroda	Los Angeles Dodgers	Pitcher	15433.333
Rafael Furcal	Los Angeles Dodgers	Shortstop	9500
Casey Blake	Los Angeles Dodgers	Third Baseman	6250
Andre Ethier	Los Angeles Dodgers	Outfielder	5750
Russell Martin	Los Angeles Dodgers	Catcher	5050
Vicente Padilla	Los Angeles Dodgers	Pitcher	5025
George Sherrill	Los Angeles Dodgers	Pitcher	4500
Jonathan Broxton	Los Angeles Dodgers	Pitcher	4000
Matt Kemp	Los Angeles Dodgers	Outfielder	4000
Chad Billingsley	Los Angeles Dodgers	Pitcher	3850
James Loney	Los Angeles Dodgers	First Baseman	3100
Jamey Carroll	Los Angeles Dodgers	Second Baseman	1535.677
Ramon Ortiz	Los Angeles Dodgers	Pitcher	1000
Hong-Chih Kuo	Los Angeles Dodgers	Pitcher	950
Brad Ausmus	Los Angeles Dodgers	Catcher	850
Ronnie Belliard	Los Angeles Dodgers	Second Baseman	825
Reed Johnson	Los Angeles Dodgers	Outfielder	800
Jeff Weaver	Los Angeles Dodgers	Pitcher	800
Garret Anderson	Los Angeles Dodgers	Outfielder	550
Clayton Kershaw	Los Angeles Dodgers	Pitcher	440
Ramon Troncoso	Los Angeles Dodgers	Pitcher	416
Ron Belisario	Los Angeles Dodgers	Pitcher	412.5
Charles Haeger	Los Angeles Dodgers	Pitcher	411
Blake DeWitt	Los Angeles Dodgers	Third Baseman	410
Cory Wade	Los Angeles Dodgers	Pitcher	404.5
Carlos Monasterios	Los Angeles Dodgers	Pitcher	400
Jeff Suppan	Milwaukee Brewers	Pitcher	12750
Prince Fielder	Milwaukee Brewers	First Baseman	11000
Randy Wolf	Milwaukee Brewers	Pitcher	8800.276
Trevor Hoffman	Milwaukee Brewers	Pitcher	7500
Corey Hart	Milwaukee Brewers	Outfielder	4800
David Riske	Milwaukee Brewers	Pitcher	4500
Doug Davis	Milwaukee Brewers	Pitcher	4250
David Bush	Milwaukee Brewers	Pitcher	4215
LaTroy Hawkins	Milwaukee Brewers	Pitcher	3250
Rickie Weeks	Milwaukee Brewers	Second Baseman	2750
Craig Counsell	Milwaukee Brewers	Third Baseman	2100
Todd Coffey	Milwaukee Brewers	Pitcher	2025.002
Jody Gerut	Milwaukee Brewers	Outfielder	2000
Gregg Zaun	Milwaukee Brewers	Catcher	1900
Ryan J. Braun	Milwaukee Brewers	Outfielder	1287.5
Carlos Gomez	Milwaukee Brewers	Outfielder	1100
Carlos Villanueva	Milwaukee Brewers	Pitcher	950
Claudio Vargas	Milwaukee Brewers	Pitcher	900
Jim Edmonds	Milwaukee Brewers	Outfielder	850
Yovani Gallardo	Milwaukee Brewers	Pitcher	450
Manny Parra	Milwaukee Brewers	Pitcher	440
Casey McGehee	Milwaukee Brewers	Third Baseman	427.5
Mitch Stetter	Milwaukee Brewers	Pitcher	420
Joe Inglett	Milwaukee Brewers	Second Baseman	416
George Kottaras	Milwaukee Brewers	Catcher	408.5
Mat Gamel	Milwaukee Brewers	Third Baseman	406.5
Chris Narveson	Milwaukee Brewers	Pitcher	406.5
Alcides Escobar	Milwaukee Brewers	Shortstop	405.5
Josh Butler	Milwaukee Brewers	Pitcher	400
Justin Morneau	Minnesota Twins	First Baseman	15000
Joe Mauer	Minnesota Twins	Catcher	12500
Joe Nathan	Minnesota Twins	Pitcher	11250
Michael Cuddyer	Minnesota Twins	Outfielder	9416.666
Carl Pavano	Minnesota Twins	Pitcher	7000
J.J. Hardy	Minnesota Twins	Shortstop	5100
Orlando Hudson	Minnesota Twins	Second Baseman	5000
Jason Kubel	Minnesota Twins	Designated Hitter	4100
Nick Punto	Minnesota Twins	Shortstop	4000
Matt Guerrier	Minnesota Twins	Pitcher	3150
Scott Baker	Minnesota Twins	Pitcher	3000
Jon Rauch	Minnesota Twins	Pitcher	2900
Delmon Young	Minnesota Twins	Outfielder	2600
Jesse Crain	Minnesota Twins	Pitcher	2000
Francisco Liriano	Minnesota Twins	Pitcher	1600
Jim Thome	Minnesota Twins	Designated Hitter	1500
Brendan Harris	Minnesota Twins	Shortstop	1450
Clay Condrey	Minnesota Twins	Pitcher	900
Nick Blackburn	Minnesota Twins	Pitcher	750
Denard Span	Minnesota Twins	Outfielder	750
Pat Neshek	Minnesota Twins	Pitcher	625
Kevin Slowey	Minnesota Twins	Pitcher	470
Alexi Casilla	Minnesota Twins	Second Baseman	437.5
Jose Mijares	Minnesota Twins	Pitcher	430
Brian Duensing	Minnesota Twins	Pitcher	417.5
Jose Morales	Minnesota Twins	Catcher	412.5
Alex Burnett	Minnesota Twins	Pitcher	400
Drew Butera	Minnesota Twins	Catcher	400
Johan Santana	New York Mets	Pitcher	20144.707
Carlos Beltran	New York Mets	Outfielder	19401.569
Francisco Rodriguez	New York Mets	Pitcher	12166.666
Oliver Perez	New York Mets	Pitcher	12000
Gary Matthews	New York Mets	Outfielder	11400
David Wright	New York Mets	Third Baseman	10250
Jose Reyes	New York Mets	Shortstop	9375
Jason Bay	New York Mets	Outfielder	8625
Luis A. Castillo	New York Mets	Second Baseman	6250
Jeff Francoeur	New York Mets	Outfielder	5000
John Maine	New York Mets	Pitcher	3300
Pedro Feliciano	New York Mets	Pitcher	2900
Alex Cora	New York Mets	Infielder	1850
Angel Pagan	New York Mets	Outfielder	1500
Kelvim Escobar	New York Mets	Pitcher	1250
Ryota Igarashi	New York Mets	Pitcher	1250
Hisanori Takahashi	New York Mets	Pitcher	1000
Sean Green	New York Mets	Pitcher	975
Mike Jacobs	New York Mets	First Baseman	900
Fernando Tatis	New York Mets	Outfielder	850
Henry Blanco	New York Mets	Catcher	750
Frank Catalanotto	New York Mets	Outfielder	650
Rod Barajas	New York Mets	Catcher	500
Mike Pelfrey	New York Mets	Pitcher	500
Dan T. Murphy	New York Mets	Outfielder	419
Fernando Nieve	New York Mets	Pitcher	414
Jon Niese	New York Mets	Pitcher	402
Ruben Tejada	New York Mets	Shortstop	400
Alex Rodriguez	New York Yankees	Third Baseman	33000
CC Sabathia	New York Yankees	Pitcher	24285.714
Derek Jeter	New York Yankees	Shortstop	22600
Mark Teixeira	New York Yankees	First Baseman	20625
A.J. Burnett	New York Yankees	Pitcher	16500
Mariano Rivera	New York Yankees	Pitcher	15000
Jorge Posada	New York Yankees	Catcher	13100
Andy Pettitte	New York Yankees	Pitcher	11750
Javier Vazquez	New York Yankees	Pitcher	11500
Robinson Cano	New York Yankees	Second Baseman	9000
Nick Swisher	New York Yankees	Outfielder	6850
Curtis Granderson	New York Yankees	Outfielder	5500
Nick Johnson	New York Yankees	First Baseman	5500
Damaso Marte	New York Yankees	Pitcher	4000
Chan Ho Park	New York Yankees	Pitcher	1200
Randy Winn	New York Yankees	Outfielder	1100
Marcus Thames	New York Yankees	Outfielder	900
Sergio Mitre	New York Yankees	Pitcher	850
Joba Chamberlain	New York Yankees	Pitcher	487.975
Brett Gardner	New York Yankees	Outfielder	452.5
Phil Hughes	New York Yankees	Pitcher	447
Alfredo Aceves	New York Yankees	Pitcher	435.65
David Robertson	New York Yankees	Pitcher	426.65
Ramiro Pena	New York Yankees	Infielder	412.1
Francisco Cervelli	New York Yankees	Catcher	410.8
Eric Chavez	Oakland Athletics	Third Baseman	12500
Ben Sheets	Oakland Athletics	Pitcher	10000
Mark Ellis	Oakland Athletics	Second Baseman	5500
Jimmy Crisp	Oakland Athletics	Outfielder	5000
Kevin Kouzmanoff	Oakland Athletics	Third Baseman	3100
