name	state	pop2000	pop2010	fed_spend	poverty	homeownership	multiunit	income	med_income
Apache County	Arizona	69423	71518	22.003397746022	34.4	76.3	5.2	12294	30184
Cochise County	Arizona	117755	131346	18.9356584897903	15.7	69	12.2	23010	44876
Coconino County	Arizona	116320	134421	9.15185871255235	18.6	61.2	18.9	22632	49510
Gila County	Arizona	51335	53597	11.5412056644961	18.9	78.3	4.8	19600	37580
Graham County	Arizona	33489	37220	7.66585169263837	20	72	7.7	15644	41683
Greenlee County	Arizona	8547	8437	7.03555766267631	13.5	46.9	6.1	21281	48696
La Paz County	Arizona	19715	20489	8.41158670506125	20.3	75.4	3.6	21165	32147
Maricopa County	Arizona	3072149	3817117	8.51498604837106	13.9	66.3	25.1	27816	55054
Mohave County	Arizona	155032	200186	7.10646598663243	16.1	71.5	9.8	21523	39785
Navajo County	Arizona	97470	107449	10.9553927909985	24.4	72.5	7	16745	39774
Pima County	Arizona	843746	980263	13.5373914959557	16.4	64.6	22.9	25093	45521
Pinal County	Arizona	179727	375770	4.78782766053703	13.5	77.7	6.3	21716	51310
Santa Cruz County	Arizona	38381	47420	9.38500632644454	25.2	71	17.6	16209	36519
Yavapai County	Arizona	167517	211033	7.65627650651794	13.7	72.5	11	25527	43290
Yuma County	Arizona	160026	195751	8.43571169495941	20.9	69.6	12.5	18418	40340
Arkansas County	Arkansas	20749	19019	12.6225353593775	18.9	64.4	10.9	22142	37230
Ashley County	Arkansas	24209	21853	9.84317942616574	18.5	72.4	8.5	18779	34934
Baxter County	Arkansas	38386	41513	9.45000361332595	15.5	76.6	10.1	21513	35606
Benton County	Arkansas	153406	221339	4.17088267318457	11.7	70.1	15.6	25186	50434
Boone County	Arkansas	33948	36903	8.03270736796466	16	72.7	12.1	20507	36977
Bradley County	Arkansas	12600	11508	10.7291449426486	30.4	70.2	8	18845	29908
Calhoun County	Arkansas	5744	5368	50.0119225037258	11.9	82.1	2.4	16457	32450
Carroll County	Arkansas	25357	27446	6.74826932886395	17.2	69.5	11.6	19743	34235
Chicot County	Arkansas	14117	11800	16.3433050847458	34.1	69.6	10	14668	21676
Clark County	Arkansas	23546	22995	9.14946727549467	23.8	67.6	15.9	17186	31968
Clay County	Arkansas	17609	16083	11.6120748616552	18.7	74	8.1	18892	29066
Cleburne County	Arkansas	24046	25970	8.95286869464767	17.4	77.9	5.7	20371	35753
Cleveland County	Arkansas	8571	8689	7.59489009091955	15.1	78	3.1	19481	36957
Columbia County	Arkansas	25603	24552	9.70035027696318	22.9	69.8	11.4	20110	35148
Conway County	Arkansas	20336	21273	8.91195412024632	17	75.8	6.3	19909	32700
Craighead County	Arkansas	82148	96443	6.76469002415935	19.4	61.2	20	21728	39233
Crawford County	Arkansas	53247	61948	6.71440563052883	18.3	73	10.8	18715	40197
Crittenden County	Arkansas	50866	50902	9.3839731248281	27.4	58.2	23.1	18241	33716
Cross County	Arkansas	19526	17870	9.19328483491886	16.7	70.7	11.3	18248	37021
Dallas County	Arkansas	9210	8116	14.040044356826	17.7	70.5	7.9	16457	29602
Desha County	Arkansas	15341	13008	12.435270602706	27.6	59.1	17.2	17582	29051
Drew County	Arkansas	18723	18509	8.69863309741207	23.6	67.5	7.7	18903	32558
Faulkner County	Arkansas	86014	113237	5.15535558165617	15.3	66.4	17.3	22811	45287
Franklin County	Arkansas	17771	18125	9.64667586206897	17.8	78.8	4.7	18010	32064
Fulton County	Arkansas	11642	12245	8.82196815026541	20.3	79.6	3.4	17067	30598
Garland County	Arkansas	88068	96024	10.1683225027077	17.7	70.1	16.7	22786	36844
Grant County	Arkansas	16464	17853	8.24880972385593	8.8	80.3	2.4	22229	51589
Greene County	Arkansas	37331	42090	6.69619862200047	16.4	65.7	13.5	18225	38209
Hempstead County	Arkansas	23587	22609	8.36737582378699	23.2	68.4	10.2	17177	35708
Hot Spring County	Arkansas	30353	32923	6.97035507092306	12.3	76	4.4	18248	37150
Howard County	Arkansas	14300	13789	8.7005584161288	22	69.6	8.2	18216	34554
Independence County	Arkansas	34233	36647	8.23415286380877	19.3	72.8	7.3	19912	34625
Izard County	Arkansas	13249	13696	10.4713785046729	18.7	79.7	4.5	17737	31673
Jackson County	Arkansas	18418	17997	12.1096293826749	25.9	69.8	15	14874	27615
Jefferson County	Arkansas	84278	77435	13.2515270872345	22.6	64.4	14.8	18681	35998
Johnson County	Arkansas	22781	25540	6.3479248238058	19.4	68.8	11.3	16937	30592
Lafayette County	Arkansas	8559	7645	11.1942446043165	19.9	79.2	5.4	17699	27515
Lawrence County	Arkansas	17774	17415	13.3946597760551	24.5	67.2	8.1	15168	30288
Lee County	Arkansas	12580	10424	13.9139485801995	28.8	66.3	13.9	13103	30494
Lincoln County	Arkansas	14492	14134	8.79651903212113	25.8	69.3	8.4	15024	35737
Little River County	Arkansas	13628	13171	8.22967124743755	18.5	71.2	9.4	18808	33416
Logan County	Arkansas	22486	22353	8.62206415246276	14.3	79.1	4	19121	37551
Lonoke County	Arkansas	52828	68356	6.11287963017145	12.6	74.4	8.6	22473	50757
Madison County	Arkansas	14243	15717	7.11853407138767	18.8	75.3	3.6	18611	36502
Marion County	Arkansas	16140	16653	8.04839968774395	15.5	81.6	4.7	19532	34109
Miller County	Arkansas	40443	43462	8.09438129860568	18.1	66.3	18.7	19654	40307
Mississippi County	Arkansas	51979	46480	9.71284423407917	25.5	59.9	16.8	17736	33407
Monroe County	Arkansas	10254	8149	16.0925266903915	22.5	61.4	16.1	17084	29964
Montgomery County	Arkansas	9245	9487	8.46737640982397	19.8	82.8	2.5	20010	35705
Nevada County	Arkansas	9955	8997	10.9325330665777	20	71.3	5.9	21020	38375
Newton County	Arkansas	8608	8330	8.64813925570228	22.5	79.7	4	15904	27441
Ouachita County	Arkansas	28790	26120	12.0189127105666	19.9	69.8	10.5	18244	31259
Perry County	Arkansas	10209	10445	7.63944471038775	15.1	81.7	2.3	19844	43635
Phillips County	Arkansas	26445	21757	15.4752493450384	32.4	54.7	15.7	15244	27361
Pike County	Arkansas	11303	11291	7.30449030201045	20.7	74.8	6.1	18122	32806
Poinsett County	Arkansas	25614	24583	10.910181832974	25.8	66.4	11.5	16625	32267
Polk County	Arkansas	20229	20662	8.9367921788791	20.4	77.4	3.7	16913	32525
Pope County	Arkansas	54469	61754	6.66230527577161	18.2	69.7	14.1	19693	39841
Prairie County	Arkansas	9539	8715	10.7212851405622	15.2	72.6	5.8	18134	35346
Pulaski County	Arkansas	361474	382748	15.6448603258541	16.4	60.4	24.9	27158	45121
Randolph County	Arkansas	18195	17969	8.8827425009739	19.7	76.6	6.8	18751	30222
St. Francis County	Arkansas	29329	28258	13.3981881237172	29.6	58.7	15.2	13693	27019
Saline County	Arkansas	83529	107118	3.44812263111709	9.9	77.7	7.8	24584	51502
Scott County	Arkansas	10996	11233	7.60500311581946	23.9	75.1	6.4	17668	36417
Searcy County	Arkansas	8261	8195	11.5010372178157	22.7	75	4.7	15298	28811
Sebastian County	Arkansas	115071	125744	7.41675944776689	18	63.4	22.3	22284	39482
Sevier County	Arkansas	15757	17058	5.91693047250557	22.9	74.2	6.1	15590	34383
Sharp County	Arkansas	17119	17264	9.88334105653383	21.5	80.8	3.6	16570	31135
Stone County	Arkansas	11499	12394	9.15442956269163	23.4	80.4	1.4	16090	30380
Union County	Arkansas	45629	41639	9.43889142390547	21.4	71.2	8.8	20447	36464
Van Buren County	Arkansas	16192	17295	8.94310494362533	22.5	78.5	9.9	17999	31960
Washington County	Arkansas	157715	203065	6.67126289611701	17.9	56.3	30.1	22421	42303
White County	Arkansas	67165	77076	6.77352223779127	15.7	69	13.8	20900	39178
Woodruff County	Arkansas	8741	7260	15.9955922865014	22.9	61.5	12.9	18344	27186
Yell County	Arkansas	21139	22185	8.22776650890241	17.7	70.1	7.3	16345	36606
Alameda County	California	1443741	1510271	10.0579154337202	11.4	55.1	38	33961	69384
Alpine County	California	1208	1175	6.59574468085106	13.1	73.4	38.4	32159	63478
Amador County	California	35100	38091	7.2147488908141	8	77.3	7.5	26329	54758
Butte County	California	203171	220000	8.56970454545455	18.4	61.2	19.7	23404	43170
Calaveras County	California	40554	45578	7.24318750274255	8.3	78.8	3.7	28408	54971
Colusa County	California	18804	21419	7.95312572949251	15	64.4	14.3	21317	48016
Contra Costa County	California	948816	1049025	6.30823478944734	9	69.5	23.8	37818	78385
Del Norte County	California	27507	28610	8.0581614819993	22	60.9	14.6	18974	36118
El Dorado County	California	156299	181058	5.86276773188702	7.9	76.5	12.1	34393	70000
Fresno County	California	799407	930450	6.17787414691816	22.5	55	25.8	20329	46430
Glenn County	California	26453	28122	8.78952421591636	17.5	67.5	11.4	19987	43074
Humboldt County	California	126518	134623	8.76683776174948	17.7	57.6	18.9	24025	40089
Imperial County	California	142361	174528	7.64167354235424	21.4	56.6	21.4	16395	38685
Inyo County	California	17945	18546	10.7797368704842	11.9	64	13.1	26762	44808
Kern County	California	661645	839631	6.86276233250083	20.6	61.4	18.1	20100	47089
Kings County	California	129461	152982	6.84683819011387	19.3	56	18.5	17875	48684
Lake County	California	58309	64665	9.3018943787211	19.1	67.1	7.8	21531	39491
Lassen County	California	33828	34895	8.33543487605674	14.2	63.7	9.7	19756	50317
Los Angeles County	California	9519338	9818605	8.1943571413658	15.7	48.2	41.8	27344	55476
Madera County	California	123109	150865	5.48219268882776	19.3	63	12	18724	46039
Marin County	California	247289	252409	6.41199402556961	7	64	27	53940	89268
Mariposa County	California	17130	18251	10.2531916059394	12.5	70	8	27064	49098
Mendocino County	California	86265	87841	9.36775537619107	17.1	62.8	13.1	23357	43759
Merced County	California	210554	255793	5.62080666789162	21.8	55.9	17.3	18041	43844
Modoc County	California	9449	9686	21.4284534379517	18.4	70.2	5.3	20536	34588
Mono County	California	12853	14202	6.83558653710745	12	56.4	51.1	27321	55087
Monterey County	California	401762	415057	7.60394837335595	13.9	53.4	26.6	25776	59271
Napa County	California	124279	136484	7.49497376981917	10	65.1	19.7	34310	67389
Nevada County	California	92033	98764	7.79534040743591	9	74	9.5	30727	57121
Orange County	California	2846289	3010232	6.07356808378889	10.1	60.8	33.7	34017	74344
Placer County	California	248399	348432	5.7604181016669	6.6	72.9	17.1	35680	74447
Plumas County	California	20824	20007	11.169640625781	12.1	65.6	6.6	28732	44000
Riverside County	California	1545387	2189641	4.9269619997068	13.4	70	16.1	24431	57768
Sacramento County	California	1223499	1418788	19.6694495583554	13.9	59.5	26.9	26953	56439
San Benito County	California	53234	55269	4.19481083428323	11.7	64.3	14.3	25508	65771
San Bernardino County	California	1709434	2035210	5.79244205757637	14.8	65.1	18.8	21867	55845
San Diego County	California	2813833	3095313	11.576317160817	12.3	55.9	35.5	30715	63069
San Francisco County	California	776733	805235	13.2977304761964	11.9	37.5	66.6	45478	71304
San Joaquin County	California	563598	685306	6.14435157433322	16	61.7	18.7	22851	54341
San Luis Obispo County	California	246681	269637	6.33133805820418	12.9	61.4	17.7	29790	57365
San Mateo County	California	707161	718451	7.43851007236402	7	61.1	32.4	43958	85648
Santa Barbara County	California	399347	423895	8.73843522570448	14.3	54.1	29.5	29731	60078
Santa Clara County	California	1682585	1781642	9.6968796200359	8.9	59.2	32.8	39804	86850
Santa Cruz County	California	255602	262382	5.97972040764992	12.7	59.6	21.4	32862	65253
Shasta County	California	163256	177223	10.7397572549838	16.5	66	16	23772	43944
Sierra County	California	3555	3240	10.6095679012346	10.9	80.1	4.5	27389	52950
Siskiyou County	California	44301	44900	10.6763697104677	17.1	65.2	14.4	22179	36981
Solano County	California	394542	413344	7.74289937679028	10.4	65.8	21.4	28649	68409
Sonoma County	California	458614	483878	6.44250410227371	10.3	62.4	18.8	32597	63274
Stanislaus County	California	446997	514453	5.74681263400155	16.4	62.1	16.5	22064	51094
Sutter County	California	78930	94737	6.01559052957134	14.3	61.8	20	22344	50944
Tehama County	California	56039	63463	7.43007736791516	20.3	65.1	11.6	20198	38137
Trinity County	California	13022	13786	11.0182068765414	15.1	73.5	7.1	22073	38725
Tulare County	California	368021	442179	5.41998828528718	22.9	59.3	14.4	17966	43851
Tuolumne County	California	54501	55365	8.13826424636503	11.7	70.2	8.6	25483	47462
Ventura County	California	753197	823318	7.37924714387393	9.2	66.4	20.2	32348	75348
Yolo County	California	168660	200849	11.1327962797923	17.1	54.1	30.6	27420	57077
Yuba County	California	60219	72155	12.1092370591089	20	59.8	17.8	19937	46807
Adams County	Colorado	363857	441603	4.57369628376619	13.9	68.4	23.9	23999	54666
Alamosa County	Colorado	14966	15445	8.81184849465846	24	63.2	20.3	18820	35935
Arapahoe County	Colorado	487967	572003	6.48710059212976	11.6	65.9	33.7	31898	58719
Archuleta County	Colorado	9898	12084	5.503227408143	8.5	82.9	17	25421	56068
Baca County	Colorado	4517	3788	31.4836325237592	14	74.9	4.4	21472	36017
Bent County	Colorado	5998	6499	8.75965533158947	24	67.4	8.9	16505	36412
Boulder County	Colorado	291288	294567	8.98312098775491	12.8	63.9	28.2	36947	64839
Broomfield County	Colorado	NA	55889	7.92093256275832	5.5	74.4	21.7	35836	75590
Chaffee County	Colorado	16242	17809	6.75473075411309	11.6	76.9	7.4	26110	42941
Cheyenne County	Colorado	2231	1836	32.2287581699346	12.1	80.5	5.6	22999	47125
Clear Creek County	Colorado	9322	9088	5.49009683098592	8	81.3	11.8	34506	60426
Conejos County	Colorado	8400	8256	9.50205910852713	17.7	75.7	4.1	17541	33627
Costilla County	Colorado	3663	3524	13.7219069239501	28.4	74.6	7.3	16525	24388
Crowley County	Colorado	5518	5823	5.57582002404259	21	74	6.5	18966	38189
Custer County	Colorado	3503	4255	6.93819036427732	15.1	80.5	4.7	26860	39909
Delta County	Colorado	27834	30952	7.9191651589558	13.1	74.3	5.3	22080	40451
Denver County	Colorado	554636	600158	13.9740684952962	19.2	52.5	44.9	30806	45501
Dolores County	Colorado	1844	2064	7.75387596899225	16	78.3	1.7	19244	43058
Douglas County	Colorado	175766	285465	2.10911320126811	2.9	82.5	14.9	42418	99198
Eagle County	Colorado	41659	52197	2.2350518229017	9.4	65.3	36.3	36753	71337
Elbert County	Colorado	19872	23086	3.47786537295331	3.5	91.3	1.4	34782	78958
El Paso County	Colorado	516929	622263	14.7070354496411	11.1	66.6	22.4	27945	56268
Fremont County	Colorado	46145	46824	7.88416196822142	16	76.6	10	19083	37847
Garfield County	Colorado	43791	56389	4.09436237564064	9.2	67.5	20.5	28457	64902
Gilpin County	Colorado	4757	5441	3.69068185995221	11	71.8	11.3	33591	58036
Grand County	Colorado	12442	14843	4.82328370275551	6.6	76.9	30.3	30055	60433
Gunnison County	Colorado	13956	15324	6.32210910989298	10.8	59.1	28.8	28490	49356
Hinsdale County	Colorado	790	843	5.26215895610913	3.7	83.5	3.6	43293	74659
Huerfano County	Colorado	7862	6711	12.45820295038	20.7	72.1	8.6	23139	30058
Jackson County	Colorado	1577	1394	12.8012912482066	13.9	72.3	5.6	23814	37222
Jefferson County	Colorado	527056	534543	11.2960566315526	8	71.9	24.7	34714	66075
Kiowa County	Colorado	1622	1398	28.1444921316166	12.5	66.6	3.4	22877	40089
Kit Carson County	Colorado	8011	8270	12.9211608222491	8.5	69.3	10.7	21086	41678
Lake County	Colorado	7812	7310	4.21367989056088	21.7	66.9	17.7	20437	41103
La Plata County	Colorado	43941	51334	5.67364709549227	10.2	69.1	18.7	29836	56422
Larimer County	Colorado	251494	299630	5.81557921436438	13.3	67.5	21.4	30046	56447
Las Animas County	Colorado	15207	15507	11.0454633391372	16.8	69.5	12	21887	38134
Lincoln County	Colorado	6087	5467	12.5364916773367	12.6	70.8	11.8	23440	41616
Logan County	Colorado	20504	22709	6.30300761812497	12.8	68.3	15	22564	40961
Mesa County	Colorado	116255	146723	6.87183331856628	12.4	72.3	14.8	27067	52067
Mineral County	Colorado	831	712	19.0575842696629	7.7	86.4	0.2	46358	53438
Moffat County	Colorado	13184	13795	5.1636100036245	13	75.1	14	24563	53587
Montezuma County	Colorado	23830	25535	8.80133150577639	17.6	72.8	9.5	24616	44103
Montrose County	Colorado	33432	41276	6.4879591045644	10.9	74.6	8.9	23613	46590
Morgan County	Colorado	27171	28159	9.16342909904471	14.6	67.3	12.1	20181	43111
Otero County	Colorado	20311	18831	11.6683659922468	21	66.1	13.3	18056	34142
Ouray County	Colorado	3742	4436	4.07529305680793	8.2	74.3	8.1	29051	58393
Park County	Colorado	14523	16206	3.8018018018018	6.2	87.9	1.3	31663	64098
Phillips County	Colorado	4480	4442	11.3129221071589	9.3	73.3	7.6	23453	44084
Pitkin County	Colorado	14872	17148	2.68124562631211	8.4	62.5	40	64381	64502
Prowers County	Colorado	14483	12551	8.91777547605768	22.1	66.7	14.9	18429	33969
Pueblo County	Colorado	141472	159063	8.5410874936346	17.3	69.9	16.2	21609	40699
Rio Blanco County	Colorado	5986	6666	6.95424542454245	5.3	74.1	13.8	28382	57992
Rio Grande County	Colorado	12413	11982	8.57486229344016	17.1	78.9	8.9	17199	39871
Routt County	Colorado	19690	23509	3.1815474924497	6.9	74.1	28.8	33079	60876
Saguache County	Colorado	5917	6108	8.89554682383759	24.4	68.3	8.1	18686	30430
San Juan County	Colorado	558	699	10.0858369098712	12.2	54.3	33.3	31232	43783
San Miguel County	Colorado	6594	7359	7.1020519092268	9.8	64.3	40	38247	66399
Sedgwick County	Colorado	2747	2379	21.7360235393022	14.1	72.8	11.5	21652	37625
Summit County	Colorado	23548	27994	2.84768164606701	7.3	70.5	57.7	35770	68750
Teller County	Colorado	20555	23350	4.86047109207709	7.6	86.9	5.1	28726	58080
Washington County	Colorado	4926	4814	13.5056086414624	14.3	68.3	5.4	23125	39735
Weld County	Colorado	180936	252825	4.05665183427272	13.9	71.7	16.6	24732	55596
Yuma County	Colorado	9841	10043	14.9507119386637	9.8	68.9	6.6	21872	42114
Fairfield County	Connecticut	882567	916829	13.8216941218046	8	70.7	35.5	48295	81268
Hartford County	Connecticut	857183	894014	17.3875655191082	10.7	66.5	38.8	33151	62590
Litchfield County	Connecticut	182193	189927	8.99460318964655	5.8	78.7	21.7	35848	69639
Middlesex County	Connecticut	155071	165676	8.7044532702383	6.1	75.8	23.5	37519	74906
New Haven County	Connecticut	824008	862477	12.5093643076859	10.9	65.3	39.7	31720	61114
New London County	Connecticut	259088	274055	24.3041834668224	7.2	69.7	29.1	32888	65419
Tolland County	Connecticut	136364	152691	5.75396716243917	6.4	76.4	24.3	33108	77175
Windham County	Connecticut	109091	118428	9.49247644138211	11.4	70.8	27.4	26457	59370
Kent County	Delaware	126697	162310	11.7234612778017	12.5	72.9	12.9	24194	53183
New Castle County	Delaware	500265	538479	7.42615775174148	10.3	71.3	22.8	31220	62474
Sussex County	Delaware	156638	197145	8.1658931243501	11.7	80	10.8	26779	51046
District of Columbia	District of Columbia	572059	601723	100.909066131758	18.5	43.5	61.7	42078	58526
Alachua County	Florida	217955	247336	9.67732558139535	23.6	54.9	38	24741	40644
Baker County	Florida	22259	27115	5.53756223492532	17	76.2	4.3	19593	47276
Bay County	Florida	148217	168852	13.9030867268377	12.4	66	30.3	25033	47770
Bradford County	Florida	26088	28520	10.4865357643759	16	77.3	5.9	16997	41126
Brevard County	Florida	476230	543376	14.8946420158417	10.5	76.4	22.6	27606	49523
Broward County	Florida	1623018	1748066	6.81949880610915	12.3	69.3	48.5	28631	51694
Calhoun County	Florida	13017	14625	8.42933333333333	21.1	73.9	5.4	15091	31699
